title,funder,funder_type,total_assets,total_giving,avg_grant_amount,median_grant_amount,ein,address,phone,website,contacts,notes,status,next_task,deadline,amount,mission_keywords,program_area_keywords,geographic_focus_keywords,funding_type_keywords,exclusion_keywords,keyword_enriched_by,keyword_enriched_at
MARK WAHLBERG YOUTH FOUNDATION INC,MARK WAHLBERG YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,043567369,"445 HAMILTON AVE, WHITE PLAINS, NY 10601-1807",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
TRUST FOR YOUTH AND CHILD LEADERSHIP TYCL INTERNATIONAL INC,TRUST FOR YOUTH AND CHILD LEADERSHIP TYCL INTERNATIONAL INC,Possible Foundation / Grantmaker,,,,,832836964,"509 W 121ST ST APT 611, NEW YORK, NY 10027-5931",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 60,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
FLUVANNA CONSERVANCY TRUST,FLUVANNA CONSERVANCY TRUST,Possible Foundation / Grantmaker,,,,,842050345,"3557 ROUTE 62, KENNEDY, NY 14747-9505",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 60,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
LIFE SERVE YOUTH FOUNDATION,LIFE SERVE YOUTH FOUNDATION,Possible Foundation / Grantmaker,,,,,471157856,"174 WEST 4TH STREET 302, NEW YORK, NY 10014-3817",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 60,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
HARMONY PLAYGROUND ENVIRONMENTAL TRUST INC,HARMONY PLAYGROUND ENVIRONMENTAL TRUST INC,Possible Foundation / Grantmaker,,,,,873538536,"32 STUART PL, MANHASSET, NY 11030-2620",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 60,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
BUTLER CONSERVATION FUND INC,BUTLER CONSERVATION FUND INC,Possible Foundation / Grantmaker,,,,,043032409,"60 CUTTERMILL RD STE 214, GREAT NECK, NY 11021-3104",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
THE RESEARCH CHARITABLE LAND CONSERVATION TRUST,THE RESEARCH CHARITABLE LAND CONSERVATION TRUST,Possible Foundation / Grantmaker,,,,,222249971,"20 COVE NECK RD # 30, OYSTER BAY, NY 11771-1818",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CITIZENS CAMPAIGN FUND FOR THE ENVIRONMENT,CITIZENS CAMPAIGN FUND FOR THE ENVIRONMENT,Possible Foundation / Grantmaker,,,,,112983418,"225 A MAIN STREET, FARMINGDALE, NY 11735-2619",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CAMP FIRE CONSERVATION FUND INC,CAMP FIRE CONSERVATION FUND INC,Possible Foundation / Grantmaker,,,,,510192291,"230 CAMPFIRE RD, CHAPPAQUA, NY 10514-2419",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
ENVIRONMENTAL DEFENSE FUND INCORPORATED,ENVIRONMENTAL DEFENSE FUND INCORPORATED,Possible Foundation / Grantmaker,,,,,116107128,"257 PARK AVENUE SOUTH, NEW YORK, NY 10010-7304",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
